,SPRADDR_ZIP_PR,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,HI,Fall 2014,University of Hawai`i at Manoa,53,2014
1,HI,Fall 2014,University of Hawai`i at Manoa,127,2014
2,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
3,HI,Fall 2014,University of Hawai`i at Manoa,16,2014
4,HI,Fall 2014,University of Hawai`i at Manoa,15,2014
5,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
6,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
7,HI,Fall 2014,University of Hawai`i at Manoa,126,2014
8,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
9,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
10,HI,Fall 2014,University of Hawai`i at Manoa,12,2014
11,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
12,SC,Fall 2014,University of Hawai`i at Manoa,1,2014
13,HI,Fall 2014,University of Hawai`i at Manoa,83,2014
14,HI,Fall 2014,University of Hawai`i at Manoa,189,2014
15,CT,Fall 2014,University of Hawai`i at Manoa,1,2014
17,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
18,HI,Fall 2014,University of Hawai`i at Manoa,263,2014
19,HI,Fall 2014,University of Hawai`i at Manoa,82,2014
20,HI,Fall 2014,University of Hawai`i at Manoa,150,2014
21,FL,Fall 2014,University of Hawai`i at Manoa,2,2014
22,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
23,HI,Fall 2014,University of Hawai`i at Manoa,138,2014
24,HI,Fall 2014,University of Hawai`i at Manoa,49,2014
25,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
26,HI,Fall 2014,University of Hawai`i at Manoa,56,2014
27,HI,Fall 2014,University of Hawai`i at Manoa,65,2014
29,HI,Fall 2014,University of Hawai`i at Manoa,5,2014
30,WA,Fall 2014,University of Hawai`i at Manoa,10,2014
31,HI,Fall 2014,University of Hawai`i at Manoa,95,2014
32,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
33,HI,Fall 2014,University of Hawai`i at Manoa,48,2014
34,HI,Fall 2014,University of Hawai`i at Manoa,52,2014
35,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
36,HI,Fall 2014,University of Hawai`i at Manoa,85,2014
37,HI,Fall 2014,University of Hawai`i at Manoa,33,2014
38,HI,Fall 2014,University of Hawai`i at Manoa,38,2014
39,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
40,HI,Fall 2014,University of Hawai`i at Manoa,8,2014
41,OR,Fall 2014,University of Hawai`i at Manoa,2,2014
42,WI,Fall 2014,University of Hawai`i at Manoa,1,2014
43,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
44,HI,Fall 2014,University of Hawai`i at Manoa,114,2014
45,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
46,HI,Fall 2014,University of Hawai`i at Manoa,50,2014
47,HI,Fall 2014,University of Hawai`i at Manoa,61,2014
48,IA,Fall 2014,University of Hawai`i at Manoa,2,2014
49,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
50,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
51,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
52,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
53,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
54,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
55,NM,Fall 2014,University of Hawai`i at Manoa,1,2014
56,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
57,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
58,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
59,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
60,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
61,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
62,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
63,HI,Fall 2014,University of Hawai`i at Manoa,5,2014
64,IN,Fall 2014,University of Hawai`i at Manoa,1,2014
65,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
66,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
67,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
68,KY,Fall 2014,University of Hawai`i at Manoa,1,2014
69,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
70,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
71,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
72,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
73,HI,Fall 2014,University of Hawai`i at Manoa,34,2014
74,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
75,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
76,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
77,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
78,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
79,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
80,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
81,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
82,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
83,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
84,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
85,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
86,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
87,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
88,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
89,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
90,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
91,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
92,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
93,HI,Fall 2014,University of Hawai`i at Manoa,7,2014
94,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
95,HI,Fall 2014,University of Hawai`i at Manoa,17,2014
96,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
97,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
98,HI,Fall 2014,University of Hawai`i at Manoa,8,2014
99,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
101,HI,Fall 2014,University of Hawai`i at Manoa,12,2014
102,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
103,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
104,NC,Fall 2014,University of Hawai`i at Manoa,2,2014
105,DC,Fall 2014,University of Hawai`i at Manoa,1,2014
106,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
107,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
108,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
109,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
110,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
111,HI,Fall 2014,University of Hawai`i at Manoa,9,2014
112,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
113,MA,Fall 2014,University of Hawai`i at Manoa,2,2014
114,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
115,HI,Fall 2014,University of Hawai`i at Manoa,15,2014
116,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
